timestamp,x_coord,y_coord,confidence
1510877506610,1034.35,417.389,1.79799
1510877506632,945.861,407.654,3.09999
1510877506707,924.679,403.407,1.35531
1510877506771,797.268,396.982,2.72814
1510877506804,825.997,389.932,0.88402
1510877506835,849.017,392.096,1.29815
1510877506900,848.89,390.07,0.622963
1510877506931,663.158,356.166,3.74606
1510877506996,711.018,369.099,6.29925
1510877507059,849.153,396.267,5.03672
1510877507103,842.86,391.239,1.14985
1510877507133,852.948,391.437,0.30159
1510877507200,536.235,286.009,24.6421
1510877507231,513.958,349.061,9.12041
1510877507297,828.675,479.434,34.866
1510877507381,1222.87,743.475,110.627
1510877507435,1261.31,737.425,71.3838
1510877507501,1431.92,864.691,98.381
1510877507533,1512,924.431,68.799
1510877507599,1220.57,720.878,3.2446
1510877507641,1146.84,599.128,1.38201
1510877507709,1068.71,503.882,5.27055
1510877507731,1005.78,470.57,0.424828
1510877507796,956.505,436.881,0.927841
1510877507863,970.779,410.202,1.24543
1510877507895,929.624,399.884,0.842879
1510877507983,934.206,385.677,0.650947
1510877508036,786.967,376.479,2.69947
1510877508101,809.06,390.482,1.01938
1510877508133,781.295,402.589,4.9569
1510877508199,586.567,379.604,6.17908
1510877508232,667.179,380.027,0.447962
1510877508298,753.523,383.73,1.69191
1510877508330,822.367,379.211,1.01149
1510877508404,990.236,385.301,3.9238
1510877508446,1027.47,368.714,4.97676
1510877508501,961.966,383.104,1.97532
1510877508534,850.808,382.579,3.44501
1510877508600,911.415,390.477,0.818932
1510877508631,963.832,394.271,2.83237
1510877508698,960.172,397.502,1.03919
1510877508731,911.537,384.753,1.43313
1510877508805,886.726,379.006,3.66903
1510877508860,897.83,379.971,2.18474
1510877508902,984.562,383.26,2.46165
1510877508935,934.624,381.704,2.38333
1510877509000,914.544,382.681,2.23111
1510877509033,643.271,372.598,7.67217
1510877509100,783.239,381.198,1.29262
1510877509132,819.351,386.459,2.23275
1510877509197,1139.66,380.003,6.53273
1510877509229,1068.33,394.018,4.94009
1510877509296,1006.22,398.969,3.03638
1510877509384,974.16,396.804,1.31403
1510877509480,967.963,398.755,3.37823
1510877509534,1000.84,398.85,5.84205
1510877509598,1281.03,384.404,11.4379
1510877509630,1195.51,387.838,1.55778
1510877509696,813.794,344.429,14.0127
1510877509729,1085.23,346.749,10.0331
1510877509795,1026.32,354.501,1.87417
1510877509829,1158.57,364.597,6.76194
1510877509895,890.171,339.432,3.25651
1510877509962,980.038,349.051,3.02728
1510877509994,936.243,367.139,6.38244
1510877510061,757.529,402.267,8.80448
1510877510094,707,401.076,4.16257
1510877510136,715.564,402.35,2.65857
1510877510201,544.028,365.42,7.9769
1510877510234,821.029,325.465,12.0777
1510877510301,509.101,244.754,32.1502
1510877510333,351.915,170.764,33.2002
1510877510398,219.651,106.584,54.8513
1510877510431,151.802,73.661,78.3275
1510877510493,96.3313,46.7441,48.1145
1510877510559,294.914,97.9098,10.1232
1510877510592,201.797,193.162,17.2668
1510877510669,825.453,394.782,17.7872
1510877510702,1107.41,610.897,117.332
1510877510734,1271.15,723.124,75.9151
1510877510800,1422.32,836.877,45.4661
1510877510832,1500.97,901.873,62.1408
1510877510899,1568.35,957.555,93.7095
1510877510932,1528.06,888.898,74.5696
1510877510999,1585.93,950.286,82.7365
1510877511031,1533.45,860.391,26.5921
1510877511098,1589.28,838.772,27.6547
1510877511131,1617.32,850.187,71.0899
1510877511196,1640.59,925.202,106.054
1510877511261,1656.01,956.857,90.9571
1510877511293,1555.77,865.449,24.6917
1510877511371,1607.88,943.064,65.7414
1510877511401,1631.12,963.558,85.7395
1510877511433,1644.64,987.685,74.5274
1510877511499,1657.19,1010.09,50.4128
1510877511529,1663.73,1015.73,60.719
1510877511595,1669.47,1028.23,99.2304
1510877511662,1673.32,1036.63,100.769
1510877511694,1675.15,1037.04,44.3931
1510877511760,1676.62,918.412,48.9926
1510877511793,1677.36,959.35,132.768
1510877511834,1172.79,687.956,32.83
1510877511902,727.293,426.627,35.1139
1510877511933,1021.11,618.768,71.1966
1510877512000,1124.72,660.899,181.984
1510877512031,853.808,607.79,127.689
1510877512097,665.276,542.391,49.857
1510877512129,459.812,461.413,15.1571
1510877512194,286.98,364.982,17.5396
1510877512259,321.395,340.111,14.4345
1510877512302,432.089,349.477,4.37147
1510877512334,305.729,247.276,49.0354
1510877512399,193.882,266.078,57.7429
1510877512431,645.478,504.149,72.0696
1510877512496,885.358,567.927,20.8429
1510877512529,1130.19,686.849,78.4509
1510877512594,1016,583.77,1.7464
1510877512636,940.117,518.028,2.82876
1510877512702,894.118,447.945,1.73865
1510877512733,784.261,419.772,1.74565
1510877512797,784.671,403.016,2.13307
1510877512830,818.349,401.607,2.70785
1510877512893,898.973,384.904,13.9466
1510877512970,912.742,383.378,1.48863
1510877513001,958.371,384.971,2.72204
1510877513033,975.165,409.137,6.30524
1510877513098,920.628,396.596,1.62085
1510877513129,955.29,396.349,2.50722
1510877513195,968.787,394.509,1.03588
1510877513261,682.736,367.675,7.63775
1510877513293,744.96,371.019,0.489356
1510877513369,845.141,356.074,2.92645
1510877513401,846.409,343.909,1.53301
1510877513432,649.482,312.688,12.3798
1510877513497,756.454,335.836,1.92493
1510877513529,794.593,347.592,1.89238
1510877513594,944.603,353.672,1.9191
1510877513670,921.426,361.636,2.16537
1510877513702,809.997,378.911,5.95073
1510877513734,812.938,376.701,1.14126
1510877513801,926.815,384.237,2.51005
1510877513832,903.215,377.345,1.34757
1510877513898,856.823,377.614,1.79626
1510877513930,841.172,377.182,3.78753
1510877513995,1152.99,430.267,20.9379
1510877514062,1364.9,679.536,142.335
1510877514094,1365.53,602.953,5.71375
1510877514160,971.719,501.307,2.49276
1510877514194,665.613,412.266,10.9443
1510877514270,903.266,417.92,5.37798
1510877514302,915.122,407.949,2.25911
1510877514333,893.914,392.971,2.27735
1510877514398,889.93,386.829,3.50359
1510877514430,974.535,404.641,5.48714
1510877514495,817.023,372.421,6.58725
1510877514568,793.649,368.079,5.78738
1510877514600,841.744,380.746,3.93349
1510877514633,806.667,386.415,2.52432
